id,txn,s1,s1_days,s2,s2_days,f1,f1_Dur,f2,f2_values,f3,f4,f5,f6,gender,DOB
1,21,102,19,59,19,NULL,NULL,13,8211,5,21,38,13,female,1976-05-19
2,3,41,16,41,16,2,0,29,5299,83,27,158,20,male,1970-05-20
3,1,33,13,24,13,18,248,22,7881,276,15,72,84,female,1981-06-26
4,1,41,7,29,6,4,22,10,4833,14,3,22,1,male,1979-01-13
5,5,58,18,58,18,1,0,22,9332,61,12,15,40,male,1977-12-20
6,3,44,9,31,9,5,43,9,3252,10,7,74,55,female,1978-08-20
7,1,83,22,46,11,59,489,24,7130,0,3,6,51,female,1971-01-19
8,3,43,14,43,14,34,331,30,7734,422,31,69,76,male,1978-05-17
9,3,48,17,46,17,38,228,24,11730,102,28,91,76,male,1966-08-13
10,13,597,30,252,29,31,330,20,2209,0,35,62,5,male,1970-01-06
11,4,82,22,82,22,70,995,26,13008,0,200,104,89,female,1964-10-22
12,1,40,4,4,4,11,56,19,9627,25,16,6,30,male,1964-01-24
13,2,54,15,54,15,40,478,24,12246,562,40,50,80,male,1979-05-29
14,3,36,12,24,11,5,51,18,1976,6,0,11,31,male,1990-04-12
15,5,34,13,34,13,12,114,28,5930,58,50,3,33,male,1971-01-01
16,8,162,26,150,26,123,511,21,9799,10,69,52,172,male,1976-10-21
17,4,100,18,81,16,24,130,29,8821,43,33,55,45,female,1974-09-17
18,1,63,22,52,18,107,1796,22,7621,0,19,6,5,female,1973-02-02
19,1,40,3,27,3,4,1,11,2267,88,1,45,14,male,1991-06-06
20,5,45,15,40,15,5,1,22,20230,104,8,279,71,male,1970-10-28
21,6,65,15,61,15,25,8,3,2488,18,4,9,52,male,1986-11-20
22,5,257,24,232,24,25,89,21,4905,11,19,28,60,male,1991-09-04
23,3,323,30,126,24,1,0,11,3889,13,8,9,15,male,1986-02-07
24,1,75,18,74,18,59,866,29,9773,22,18,76,69,male,1985-05-16
25,3,81,26,81,26,5,62,30,11271,131,59,130,175,male,1958-10-05
26,13,385,27,361,27,80,322,24,9481,81,0,45,143,male,1980-07-25
27,2,41,20,41,20,11,171,21,5461,85,39,1,77,male,1980-05-05
28,6,102,25,102,25,39,413,26,8424,138,43,103,84,female,1977-09-09
29,3,49,9,25,9,2,0,24,4671,0,1,1,3,female,1977-08-15
30,14,76,11,60,11,9,42,12,1167,0,2,38,0,male,1976-10-26
31,6,142,26,142,26,8,31,25,7775,44,31,94,178,female,1983-12-24
32,7,90,24,90,24,NULL,NULL,22,6566,105,12,5,36,male,1974-01-28
33,3,30,11,30,11,21,95,22,4918,141,44,25,37,male,1971-06-09
34,5,164,30,164,30,59,96,6,3978,44,2,6,3,male,1977-03-28
35,1,35,15,35,15,NULL,NULL,27,7551,287,0,48,137,male,1971-07-01
36,7,174,18,174,18,132,495,12,782,0,14,25,0,male,1983-06-20
37,5,95,27,92,26,88,909,25,10817,91,48,62,90,male,1971-06-28
38,4,109,25,93,25,1,2,,,0,1,1,0,male,1979-10-25
39,3,244,28,179,28,4,9,24,5573,17,30,17,196,male,1985-11-22
40,5,111,18,111,18,70,1384,25,8270,156,42,63,33,male,1977-07-03
41,10,89,25,89,25,4,35,29,9924,141,11,1,74,male,1980-10-29
42,1,64,4,64,4,3,0,15,7700,167,0,96,231,male,1971-05-02
43,3,38,8,38,8,16,207,23,6264,9,15,53,20,male,1977-06-10
44,6,138,22,94,19,17,67,30,13367,69,14,44,90,male,1973-11-18
45,1,52,11,52,11,79,889,27,6729,123,52,66,251,male,1948-01-23
46,4,82,20,51,20,40,420,24,7749,28,29,165,145,male,1988-07-27
47,5,86,18,86,18,23,263,21,5607,0,24,43,11,male,1989-03-30
48,2,62,11,46,11,1,0,30,13429,93,0,106,179,female,1965-08-09
49,1,49,18,47,18,35,500,23,8524,142,36,60,47,male,1993-10-04
50,3,75,16,75,16,1,60,23,6567,21,36,36,22,male,1982-11-01
51,4,83,22,81,22,62,641,29,11291,92,74,61,59,male,1970-12-18
52,10,84,20,84,20,30,94,23,11823,125,15,1,105,male,1980-07-01
53,3,67,22,23,12,36,355,16,5187,4,19,18,2,male,1986-08-29
54,17,203,26,203,26,4,5,21,11322,43,7,5,45,male,1978-02-25
55,4,58,15,44,14,15,177,15,3617,11,0,4,39,male,1965-02-02
56,1,43,14,42,14,6,141,23,12430,3,6,6,136,female,1971-10-24
57,2,28,17,28,17,1,55,25,9983,40,0,4,94,male,1979-03-21
58,4,87,12,69,10,34,135,9,3588,38,4,33,16,female,1988-05-01
59,1,106,20,98,20,3,2,26,10969,0,3,1,20,male,1975-01-15
60,9,113,27,113,27,NULL,NULL,30,9933,56,0,39,228,female,1969-08-17
61,4,73,22,73,22,12,30,25,12483,98,19,1,72,male,1971-05-24
62,1,44,11,44,11,NULL,NULL,9,2968,7,2,6,5,male,1985-06-11
63,4,54,17,54,17,NULL,NULL,24,7546,129,24,40,83,male,1965-09-02
64,3,216,23,211,23,52,612,26,11827,56,59,67,58,male,1959-01-18
65,6,356,30,168,26,23,226,22,3868,61,5,3,25,male,1975-11-04
66,1,29,8,26,8,60,353,9,2882,9,16,1,20,male,1991-05-01
67,1,35,7,35,7,NULL,NULL,18,12091,0,1,36,29,female,1965-07-30
68,4,89,26,89,26,3,8,26,8913,80,27,1,71,male,1973-11-24
69,3,187,23,151,23,11,25,30,10608,88,0,112,112,male,1987-07-02
70,1,42,15,42,15,14,95,10,5800,0,11,12,41,female,1993-09-11
71,7,158,25,136,25,4,1,24,22479,141,4,81,83,male,1956-04-17
72,6,142,29,114,28,1,1,30,13682,81,1,27,110,male,1985-05-17
73,1,30,11,23,11,63,529,7,4357,22,16,17,11,female,1977-10-25
74,1,55,18,40,18,35,353,28,10366,435,52,102,270,male,1995-06-15
75,5,36,20,36,20,36,504,30,14335,96,41,61,88,male,1971-04-06
76,4,38,11,38,11,80,651,27,8122,74,48,11,122,male,1976-05-10
77,1,142,27,142,27,7,14,30,15227,382,5,242,88,male,1954-01-12
78,1,27,4,23,4,NULL,NULL,30,3277,447,0,121,57,female,1979-12-24
79,6,45,20,45,20,93,933,21,9193,60,36,92,49,male,1980-01-14
80,8,76,22,76,22,2,15,6,6673,0,3,2,8,female,1983-12-01
